file,from_comp,to_comp
large_01.json,1,0
large_01.json,2,0
large_01.json,3,0
large_01.json,4,0
large_01.json,4,3
large_01.json,5,1
large_01.json,5,2
large_01.json,5,4
large_01.json,6,0
large_01.json,6,2
large_01.json,6,3
large_01.json,7,0
large_01.json,7,1
large_01.json,7,4
large_01.json,8,4
large_01.json,9,1
large_01.json,9,8
large_01.json,10,0
large_01.json,10,4
large_01.json,10,6
large_01.json,10,7
large_01.json,10,9
large_01.json,11,0
large_01.json,11,3
large_01.json,11,8
large_01.json,12,0
large_01.json,12,4
large_01.json,12,7
large_01.json,12,8
large_01.json,12,10
large_01.json,12,11
large_01.json,13,1
large_01.json,13,7
large_01.json,14,6
large_01.json,14,10
large_01.json,14,11
large_01.json,15,1
large_01.json,15,2
large_01.json,15,4
large_01.json,15,5
large_01.json,15,7
large_01.json,16,0
large_01.json,16,1
large_01.json,16,2
large_01.json,16,4
large_01.json,16,5
large_01.json,16,11
large_01.json,16,15
large_01.json,17,16
large_01.json,17,9
large_01.json,17,13
large_01.json,17,14
large_01.json,17,15
large_01.json,18,4
large_01.json,18,7
large_01.json,18,8
large_01.json,18,11
large_01.json,18,12
large_01.json,19,0
large_01.json,19,17
large_01.json,19,18
large_01.json,19,3
large_01.json,19,5
large_01.json,19,12
large_01.json,19,15
large_01.json,20,16
large_01.json,20,7
large_01.json,20,8
large_01.json,20,14
large_01.json,20,15
large_01.json,21,4
large_01.json,21,9
large_01.json,21,11
large_01.json,21,12
large_01.json,21,15
large_01.json,22,2
large_01.json,22,3
large_01.json,22,20
large_01.json,22,21
large_01.json,22,5
large_01.json,22,8
large_01.json,22,12
large_01.json,23,1
large_01.json,23,2
large_01.json,23,3
large_01.json,23,8
large_01.json,23,13
large_01.json,23,14
medium_01.json,1,0
medium_01.json,2,0
medium_01.json,3,0
medium_01.json,3,2
medium_01.json,4,3
medium_01.json,5,1
medium_01.json,5,2
medium_01.json,5,3
medium_01.json,6,1
medium_01.json,6,3
medium_01.json,6,4
medium_01.json,6,5
medium_01.json,8,4
medium_01.json,8,6
medium_01.json,8,7
medium_01.json,9,4
medium_01.json,9,6
medium_01.json,9,8
medium_01.json,10,1
medium_01.json,10,6
medium_01.json,11,0
medium_01.json,11,2
medium_01.json,11,7
medium_01.json,11,8
medium_01.json,11,9
medium_01.json,11,10
small_01.json,1,0
small_01.json,3,2
small_01.json,4,2
small_01.json,5,4
small_02.json,1,0
small_02.json,3,1
small_02.json,4,0
small_02.json,4,3
small_02.json,5,0
small_02.json,5,4
small_02.json,6,2
small_02.json,6,3
small_02.json,6,5
small_03.json,1,0
